SF/PF,LeBron James,12000,CLE@BOS 08:30PM ET,54.777,CLE
SF/PF,Kevin Durant,10100,GS@SA 09:00PM ET,48.204,GS
PG,Stephen Curry,9100,GS@SA 09:00PM ET,45.82,GS
PG,Isaiah Thomas,8800,CLE@BOS 08:30PM ET,43.097,BOS
PG,Kyrie Irving,8400,CLE@BOS 08:30PM ET,41.21,CLE
PF/C,Draymond Green,7900,GS@SA 09:00PM ET,38.035,GS
PF/C,LaMarcus Aldridge,7600,GS@SA 09:00PM ET,32.762,SA
C,Al Horford,7100,CLE@BOS 08:30PM ET,34.66,BOS
PF/C,Kevin Love,6900,CLE@BOS 08:30PM ET,38.32,CLE
SG,Klay Thompson,6000,GS@SA 09:00PM ET,32.571,GS
SF/PF,Jae Crowder,6000,CLE@BOS 08:30PM ET,27.685,BOS
SG,Avery Bradley,5800,CLE@BOS 08:30PM ET,30.055,BOS
PG,Patty Mills,5500,GS@SA 09:00PM ET,18.941,SA
SG/SF,Jonathon Simmons,5200,GS@SA 09:00PM ET,12.944,SA
C,Tristan Thompson,5100,CLE@BOS 08:30PM ET,24.203,CLE
C,Pau Gasol,5000,GS@SA 09:00PM ET,27.468,SA
SG/SF,Marcus Smart,5000,CLE@BOS 08:30PM ET,25.97,BOS
SG,Danny Green,4400,GS@SA 09:00PM ET,18.136,SA
PF/C,Kelly Olynyk,4200,CLE@BOS 08:30PM ET,19.795,BOS
SG,Manu Ginobili,3900,GS@SA 09:00PM ET,16.628,SA
PG,Dejounte Murray,3500,GS@SA 09:00PM ET,7.633,SA
SG,J.R. Smith,3400,CLE@BOS 08:30PM ET,16.76,CLE
PF/C,Channing Frye,3300,CLE@BOS 08:30PM ET,17.207,CLE
PF,David West,3200,GS@SA 09:00PM ET,13.896,GS
PG/SF,Kyle Anderson,3100,GS@SA 09:00PM ET,10.64,SA
SG/SF,Kyle Korver,3100,CLE@BOS 08:30PM ET,17.993,CLE
C,Zaza Pachulia,3000,GS@SA 09:00PM ET,17.975,GS
PG,Deron Williams,3000,CLE@BOS 08:30PM ET,22.038,CLE
SG/SF,Iman Shumpert,2900,CLE@BOS 08:30PM ET,15.241,CLE
PG/SG,Terry Rozier,2800,CLE@BOS 08:30PM ET,13.686,BOS
PF/C,David Lee,2700,GS@SA 09:00PM ET,17.158,SA
C,JaVale McGee,2600,GS@SA 09:00PM ET,12.529,GS
PF,Amir Johnson,2600,CLE@BOS 08:30PM ET,16.253,BOS
PG,Shaun Livingston,2500,GS@SA 09:00PM ET,11.43,GS
SF,Jaylen Brown,2400,CLE@BOS 08:30PM ET,11.864,BOS
C,Dewayne Dedmon,2300,GS@SA 09:00PM ET,15.562,SA
SF,Matt Barnes,2200,GS@SA 09:00PM ET,18.689,GS
SG,Gerald Green,2200,CLE@BOS 08:30PM ET,9.83,BOS
PG/SG,Ian Clark,2100,GS@SA 09:00PM ET,11.625,GS
PF,James Michael McAdoo,2000,GS@SA 09:00PM ET,6.797,GS
C,Damian Jones,2000,GS@SA 09:00PM ET,5.292,GS
SG,Patrick McCaw,2000,GS@SA 09:00PM ET,8.692,GS
PG,Bryn Forbes,2000,GS@SA 09:00PM ET,4.628,SA
PF,Davis Bertans,2000,GS@SA 09:00PM ET,8.474,SA
PF,Joel Anthony,2000,GS@SA 09:00PM ET,4.213,SA
C,Tyler Zeller,2000,CLE@BOS 08:30PM ET,8.364,BOS
PF,Jonas Jerebko,2000,CLE@BOS 08:30PM ET,10.352,BOS
SG,James Young,2000,CLE@BOS 08:30PM ET,4.088,BOS
SF,Richard Jefferson,2000,CLE@BOS 08:30PM ET,10.985,CLE
SG,Dahntay Jones,2000,CLE@BOS 08:30PM ET,2.8,CLE
SG,James Jones,2000,CLE@BOS 08:30PM ET,4.73,CLE
SF,Derrick Williams,2000,CLE@BOS 08:30PM ET,10.731,CLE
