1,Russell Westbrook,PG,28,OKC,5,5,38.8,11.8,30.4,0.388,2.6,9.8,0.265,9.2,20.6,0.447,0.431,11.2,14,0.8,1.8,9.8,11.6,10.8,2.4,0.4,6,3.2,37.4
2,LeBron James,SF,32,CLE,8,8,42.4,11.6,20.9,0.557,2.8,5.9,0.468,8.9,15,0.592,0.623,8.4,11.5,0.728,0.8,8.3,9,7.1,2.1,1.5,4.4,2.1,34.4
3,Stephen Curry,PG,28,GSW,9,9,34.9,9,18.8,0.479,4.3,10.4,0.415,4.7,8.3,0.56,0.595,6.2,7,0.889,1,4.4,5.4,5.7,1.6,0.4,3,1.7,28.6
4,James Harden,PG,27,HOU,11,11,37,8.2,19.8,0.413,2.9,10.5,0.278,5.3,9.4,0.563,0.486,9.2,10.5,0.878,0.6,4.8,5.5,8.5,1.9,0.5,5.4,3.9,28.5
5,Paul George,SF,26,IND,4,4,43,8.5,22,0.386,4.5,10.5,0.429,4,11.5,0.348,0.489,6.5,7.5,0.867,1.3,7.5,8.8,7.3,1.8,0.5,3.3,3.3,28
6,Damian Lillard,PG,26,POR,4,4,37.8,9.8,22.5,0.433,2.3,8,0.281,7.5,14.5,0.517,0.483,6,6.3,0.96,1,3.5,4.5,3.3,1.3,0.5,3.3,2.8,27.8
7,Kawhi Leonard,SF,25,SAS,12,12,35.8,8.8,16.8,0.525,2.1,4.6,0.455,6.8,12.3,0.551,0.587,7.9,8.5,0.931,1.6,6.2,7.8,4.6,1.7,0.5,2.2,1.8,27.7
8,John Wall,PG,26,WAS,13,13,39,9.8,21.6,0.452,1.6,4.7,0.344,8.2,16.9,0.482,0.489,6,7.2,0.839,0.5,3.2,3.7,10.3,1.7,1.2,4.2,2,27.2
9,Isaiah Thomas,PG,27,BOS,13,13,35.8,8,18.2,0.441,2.6,7.6,0.343,5.4,10.5,0.511,0.513,6.8,8.2,0.83,0.4,2.9,3.3,6.5,0.9,0.2,3.5,2.5,25.4
10,Chris Paul,PG,31,LAC,7,7,37.1,9.6,19.3,0.496,2,5.4,0.368,7.6,13.9,0.546,0.548,4.1,4.7,0.879,0.6,4.4,5,9.9,1.7,0.1,2.7,3.4,25.3
11,Kevin Durant,SF,28,GSW,7,7,33,8.9,16.9,0.525,1.9,4.9,0.382,7,12,0.583,0.581,5.3,6.1,0.86,1.1,6.6,7.7,3.7,0.7,1.3,1.9,2.6,24.9
12,Giannis Antetokounmpo,SF,22,MIL,6,6,40.5,10,18.7,0.536,0.7,1.7,0.4,9.3,17,0.549,0.554,4.2,7.7,0.543,1.7,7.8,9.5,4,2.2,1.7,3.3,3.5,24.8
13,Bradley Beal,SG,23,WAS,13,13,38.8,9.4,19.9,0.471,2.2,7.8,0.287,7.2,12.2,0.589,0.527,3.8,4.7,0.82,1.2,2.2,3.3,2.7,1.6,0.6,2.1,2.9,24.8
14,Mike Conley,PG,29,MEM,6,6,37.3,8.3,17.2,0.485,2.8,6.3,0.447,5.5,10.8,0.508,0.568,5.2,6.2,0.838,0.2,3.2,3.3,7,1.7,0.5,2,1.8,24.7
15,Dennis Schroder,PG,23,ATL,6,6,35.2,8.3,18.3,0.455,2.8,6.7,0.425,5.5,11.7,0.471,0.532,5.2,6.2,0.838,0.7,1.7,2.3,7.7,1,0,1.7,3.2,24.7
