"Le'Veon Bell, Pit",@Bal,16th,3,52,180,1,13,56,0,0,0,14.2,8700,1.63,Sun 1:00,,,,,,,,,,,,,
"Kareem Hunt, KC",Was,13th,3,47,401,4,9,137,2,1,1,34.6,8500,4.07,Mon 8:30,,,,,,,,,,,,,
"LeSean McCoy, Buf",@Atl,29th,3,48,140,0,18,131,0,0,0,16,8400,1.91,Sun 1:00,,,,,,,,,,,,,
"Ezekiel Elliott, Dal",LA,30th,3,55,192,1,12,64,0,0,0,15.5,8200,1.89,Sun 1:00,,,,,,,,,,,,,
"Todd Gurley, LA",@Dal,24th,3,63,241,4,13,140,2,4,1,29.7,7800,3.81,Sun 1:00,,,,,,,,,,,,,
"Ty Montgomery, GB",Chi,11th,3,41,124,2,18,129,1,0,0,20.4,7500,2.72,Thu 8:25,,,,,,,,,,,,,
"Jay Ajayi, Mia",NO,32nd,2,39,138,0,4,13,0,0,0,11.1,7400,1.49,Sun 9:30,,,,,,,,,,,,,
"Devonta Freeman, Atl",Buf,2nd,3,52,227,4,7,50,0,0,0,20.6,7300,2.82,Sun 1:00,,,,,,,,,,,,,
"Melvin Gordon, LAC",Phi,6th,3,44,146,2,12,90,1,0,0,17.9,7000,2.55,Sun 4:05,,,,,,,,,,,,,
"Christian McCaffrey, Car",@NE,31st,3,25,73,0,18,173,0,1,1,14.9,6800,2.19,Sun 1:00,,,,,,,,,,,,,
"Leonard Fournette, Jax",@NYJ,26th,3,57,199,3,8,66,0,1,0,18.5,6700,2.76,Sun 1:00,,,,,,,,,,,,,
"Dalvin Cook, Min",Det,25th,3,61,288,1,10,82,0,0,0,18.7,6500,2.87,Sun 1:00,,,,,,,,,,,,,
"DeMarco Murray, Ten",@Hou,10th,3,35,184,1,4,24,0,0,0,11.3,6000,1.88,Sun 1:00,,,,,,,,,,,,,
"Jordan Howard, Chi",@GB,22nd,3,45,197,3,8,40,0,1,1,17.2,5800,2.97,Thu 8:25,,,,,,,,,,,,,
"Joe Mixon, Cin",@Cle,8th,3,35,107,0,7,59,0,0,0,7.9,5700,1.38,Sun 1:00,,,,,,,,,,,,,
"C.J. Anderson, Den",Oak,20th,3,53,235,1,6,50,1,0,0,16.5,5600,2.95,Sun 4:25,,,,,,,,,,,,,
"Tarik Cohen, Chi",@GB,22nd,3,24,157,0,20,126,1,2,1,17.8,5500,3.23,Thu 8:25,,,,,,,,,,,,,
"Chris Carson, Sea",Ind,18th,3,37,166,0,4,35,1,0,0,10,5400,1.86,Sun 8:30,,,,,,,,,,,,,
"Mike Gillislee, NE",Car,7th,3,45,145,4,0,0,0,0,0,12.8,5400,2.38,Sun 1:00,,,,,,,,,,,,,
"Derrick Henry, Ten",@Hou,10th,3,33,171,1,1,10,0,0,0,8.4,5300,1.58,Sun 1:00,,,,,,,,,,,,,
"Chris Thompson, Was",@KC,19th,3,14,119,2,13,231,2,0,0,25,5200,4.81,Mon 8:30,,,,,,,,,,,,,
"Alfred Morris, Dal",LA,30th,2,4,1,0,0,0,0,0,0,0.1,5100,0.01,Sun 1:00,,,,,,,,,,,,,
"Tevin Coleman, Atl",Buf,2nd,3,20,104,0,9,88,1,0,0,11.4,5000,2.28,Sun 1:00,,,,,,,,,,,,,
"Marshawn Lynch, Oak",@Den,3rd,3,36,139,1,3,28,0,0,0,8.6,5000,1.71,Sun 4:25,,,,,,,,,,,,,
"James White, NE",Car,7th,3,17,66,0,12,126,0,0,0,10.4,5000,2.08,Sun 1:00,,,,,,,,,,,,,
"Isaiah Crowell, Cle",Cin,9th,3,39,114,0,4,43,0,0,0,7.2,4800,1.51,Sun 1:00,,,,,,,,,,,,,
"Javorius Allen, Bal",Pit,28th,3,43,152,0,10,48,1,0,0,12,4700,2.55,Sun 1:00,,,,,,,,,,,,,
"Mark Ingram, NO",@Mia,5th,3,28,125,0,11,108,0,0,0,11.4,4600,2.49,Sun 9:30,,,,,,,,,,,,,
"Bilal Powell, NYJ",Jax,12th,3,28,72,1,5,17,0,0,0,6.6,4600,1.44,Sun 1:00,,,,,,,,,,,,,
"James Conner, Pit",@Bal,16th,3,5,20,0,0,0,0,0,0,0.7,4500,0.15,Sun 1:00,,,,,,,,,,,,,
"Duke Johnson, Cle",Cin,9th,3,6,44,1,11,160,0,0,0,12.5,4500,2.77,Sun 1:00,,,,,,,,,,,,,
"Doug Martin, TB",NYG,17th,--,--,--,--,--,--,--,--,--,0,4500,0,Sun 4:05,,,,,,,,,,,,,
"Darren McFadden, Dal",LA,30th,--,--,--,--,--,--,--,--,--,0,4500,0,Sun 1:00,,,,,,,,,,,,,
"Lamar Miller, Hou",Ten,14th,3,49,182,0,6,64,0,0,0,10.2,4500,2.27,Sun 1:00,,,,,,,,,,,,,
"Theo Riddick, Det",@Min,1st,3,10,19,0,13,82,1,0,0,9.7,4500,2.16,Sun 1:00,,,,,,,,,,,,,
"Branden Oliver, LAC",Phi,6th,3,15,57,0,4,18,0,0,0,3.8,4400,0.87,Sun 4:05,,,,,,,,,,,,,
"Jacquizz Rodgers, TB",NYG,17th,2,24,82,1,0,0,0,0,0,7.1,4400,1.61,Sun 4:05,,,,,,,,,,,,,
"Jamaal Williams, GB",Chi,11th,3,5,21,0,1,5,0,0,0,1.2,4400,0.27,Thu 8:25,,,,,,,,,,,,,
"Giovani Bernard, Cin",@Cle,8th,3,15,77,0,5,67,1,0,0,8.5,4300,1.97,Sun 1:00,,,,,,,,,,,,,
"Jonathan Stewart, Car",@NE,31st,3,45,162,0,3,21,1,0,0,9.1,4300,2.12,Sun 1:00,,,,,,,,,,,,,
"Ameer Abdullah, Det",@Min,1st,3,46,163,0,6,50,0,0,0,9.1,4200,2.17,Sun 1:00,,,,,,,,,,,,,
"Jamaal Charles, Den",Oak,20th,3,28,142,1,2,7,0,1,1,7.3,4200,1.74,Sun 4:25,,,,,,,,,,,,,
"Chris Johnson, Ari",SF,27th,2,23,61,0,1,4,0,0,0,3.8,4200,0.89,Sun 4:05,,,,,,,,,,,,,
"Rob Kelley, Was",@KC,19th,2,22,108,0,0,0,0,0,0,5.4,4200,1.29,Mon 8:30,,,,,,,,,,,,,
"Samaje Perine, Was",@KC,19th,3,40,116,0,2,6,0,1,1,4.4,4100,1.07,Mon 8:30,,,,,,,,,,,,,
