"Rob Gronkowski, NE",Car,3rd,3,16,238,25,2,0,0,1,0,18.3,6600,2.77,Sun 1:00,,,,,,,,,,,,,
"Zach Ertz, Phi",@LAC,6th,3,21,245,28,1,0,0,1,1,16.8,6300,2.67,Sun 4:05,,,,,,,,,,,,,
"Travis Kelce, KC",Was,25th,3,14,144,18,1,4,0,0,0,12.6,6000,2.1,Mon 8:30,,,,,,,,,,,,,
"Jordan Reed, Was",@KC,10th,2,11,84,14,0,0,0,1,0,9.7,5400,1.8,Mon 8:30,,,,,,,,,,,,,
"Jason Witten, Dal",LA,12th,3,18,159,26,2,0,0,0,0,15.3,5000,3.06,Sun 1:00,,,,,,,,,,,,,
"Jimmy Graham, Sea",Ind,11th,3,11,81,21,0,0,0,0,0,6.4,4900,1.3,Sun 8:30,,,,,,,,,,,,,
"Delanie Walker, Ten",@Hou,19th,3,15,168,19,0,1,1,0,0,12.6,4900,2.58,Sun 1:00,,,,,,,,,,,,,
"Greg Olsen, Car",@NE,32nd,2,3,28,6,0,0,0,0,0,2.9,4700,0.62,Sun 1:00,,,,,,,,,,,,,
"Kyle Rudolph, Min",Det,13th,3,8,75,11,1,0,0,0,0,7.2,4100,1.75,Sun 1:00,,,,,,,,,,,,,
"Tyler Eifert, Cin",@Cle,30th,2,4,46,5,0,0,0,0,0,4.3,3900,1.1,Sun 1:00,,,,,,,,,,,,,
"Cameron Brate, TB",NYG,31st,2,6,57,7,1,0,0,0,0,8.8,3800,2.33,Sun 4:05,,,,,,,,,,,,,
"Martellus Bennett, GB",Chi,20th,3,11,102,21,0,0,0,0,0,7.1,3700,1.91,Thu 8:25,,,,,,,,,,,,,
"Charles Clay, Buf",@Atl,14th,3,13,115,18,2,0,0,1,0,12.2,3700,3.29,Sun 1:00,,,,,,,,,,,,,
"Vernon Davis, Was",@KC,10th,3,6,71,7,1,0,0,0,0,6.4,3700,1.72,Mon 8:30,,,,,,,,,,,,,
"Benjamin Watson, Bal",Pit,7th,3,11,103,12,1,0,0,0,0,9.1,3600,2.53,Sun 1:00,,,,,,,,,,,,,
"Ryan Griffin, Hou",Ten,21st,2,5,61,7,1,0,0,0,0,8.6,3500,2.44,Sun 1:00,,,,,,,,,,,,,
"Hunter Henry, LAC",Phi,24th,3,7,80,7,0,0,0,0,0,5,3500,1.43,Sun 4:05,,,,,,,,,,,,,
"Jared Cook, Oak",@Den,27th,3,13,124,17,1,0,0,0,0,10.5,3400,3.08,Sun 4:25,,,,,,,,,,,,,
"Jack Doyle, Ind",@Sea,18th,3,12,136,16,0,0,0,1,1,8.2,3400,2.41,Sun 8:30,,,,,,,,,,,,,
"Coby Fleener, NO",@Mia,28th,3,9,108,11,2,0,0,0,0,10.6,3400,3.12,Sun 9:30,,,,,,,,,,,,,
"Austin Hooper, Atl",Buf,9th,3,5,144,6,1,0,0,0,0,9.5,3300,2.87,Sun 1:00,,,,,,,,,,,,,
"Eric Ebron, Det",@Min,22nd,3,9,60,15,1,0,0,0,0,7,3100,2.26,Sun 1:00,,,,,,,,,,,,,
"Evan Engram, NYG",@TB,3rd,3,13,138,19,1,0,0,0,0,10.9,3000,3.64,Sun 4:05,,,,,,,,,,,,,
"Jesse James, Pit",@Bal,26th,3,12,87,17,2,0,0,0,0,10.9,3000,3.63,Sun 1:00,,,,,,,,,,,,,
