"Antonio Brown, Pit",@Bal,5th,3,26,354,36,1,0,0,1,0,24.5,9300,2.63,Sun 1:00,,,,,,,,,,,,,
"Odell Beckham Jr., NYG",@TB,32nd,2,13,115,18,2,0,0,0,0,18.2,8900,2.05,Sun 4:05,,,,,,,,,,,,,
"Julio Jones, Atl",Buf,9th,3,16,265,26,0,0,0,0,0,15.2,8800,1.72,Sun 1:00,,,,,,,,,,,,,
"A.J. Green, Cin",@Cle,13th,3,20,252,31,1,0,0,0,0,18.1,8600,2.1,Sun 1:00,,,,,,,,,,,,,
"Jordy Nelson, GB",Chi,16th,3,13,131,17,3,0,0,0,0,14.7,7700,1.91,Thu 8:25,,,,,,,,,,,,,
"Brandin Cooks, NE",Car,6th,3,10,256,18,2,6,0,0,0,17.7,7600,2.33,Sun 1:00,,,,,,,,,,,,,
"Mike Evans, TB",NYG,4th,2,14,160,21,1,0,0,0,0,18,7400,2.43,Sun 4:05,,,,,,,,,,,,,
"Michael Thomas, NO",@Mia,19th,3,17,221,26,1,0,0,0,0,15,7300,2.06,Sun 9:30,,,,,,,,,,,,,
"Keenan Allen, LAC",Phi,29th,3,19,196,29,1,0,0,0,0,15.9,7200,2.2,Sun 4:05,,,,,,,,,,,,,
"Stefon Diggs, Min",Det,17th,3,17,293,25,4,-2,0,0,0,24.4,7100,3.43,Sun 1:00,,,,,,,,,,,,,
"Doug Baldwin, Sea",Ind,27th,3,20,212,28,1,-3,0,0,0,16.6,6900,2.41,Sun 8:30,,,,,,,,,,,,,
"Tyreek Hill, KC",Was,3rd,3,16,253,22,2,24,0,1,0,19.6,6800,2.88,Mon 8:30,,,,,,,,,,,,,
"DeVante Parker, Mia",NO,21st,2,12,161,19,1,0,0,0,0,17.1,6700,2.54,Sun 9:30,,,,,,,,,,,,,
"Dez Bryant, Dal",LA,7th,3,11,114,27,2,0,0,0,0,11.5,6500,1.76,Sun 1:00,,,,,,,,,,,,,
"Jarvis Landry, Mia",NO,21st,2,19,126,26,0,-7,0,0,0,15.4,6500,2.38,Sun 9:30,,,,,,,,,,,,,
"DeAndre Hopkins, Hou",Ten,30th,3,21,204,37,1,0,0,0,0,15.8,6400,2.47,Sun 1:00,,,,,,,,,,,,,
"Golden Tate, Det",@Min,31st,3,21,190,27,1,7,0,0,0,16.6,6300,2.63,Sun 1:00,,,,,,,,,,,,,
"Demaryius Thomas, Den",Oak,14th,3,17,236,25,0,0,0,0,0,13.5,6300,2.15,Sun 4:25,,,,,,,,,,,,,
"Alshon Jeffery, Phi",@LAC,20th,3,14,186,28,1,0,0,0,0,13.5,6200,2.18,Sun 4:05,,,,,,,,,,,,,
"Larry Fitzgerald, Ari",SF,23rd,3,22,244,34,1,0,0,0,0,18.5,6100,3.03,Sun 4:05,,,,,,,,,,,,,
"Emmanuel Sanders, Den",Oak,14th,3,16,163,29,2,0,0,0,0,14.8,6100,2.42,Sun 4:25,,,,,,,,,,,,,
"Kelvin Benjamin, Car",@NE,25th,3,9,110,15,0,0,0,0,0,6.7,6000,1.11,Sun 1:00,,,,,,,,,,,,,
"Randall Cobb, GB",Chi,16th,2,15,145,22,0,10,0,0,0,15.2,6000,2.54,Thu 8:25,,,,,,,,,,,,,
"Amari Cooper, Oak",@Den,11th,3,10,101,23,1,0,0,1,0,8.7,6000,1.45,Sun 4:25,,,,,,,,,,,,,
"Chris Hogan, NE",Car,6th,3,10,154,17,3,17,0,0,0,15,6000,2.51,Sun 1:00,,,,,,,,,,,,,
"Davante Adams, GB",Chi,16th,3,14,206,23,1,0,0,0,0,13.5,5900,2.29,Thu 8:25,,,,,,,,,,,,,
"Sammy Watkins, LA",@Dal,26th,3,13,194,14,2,0,0,0,0,15.8,5900,2.68,Sun 1:00,,,,,,,,,,,,,
"Adam Thielen, Min",Det,17th,3,19,299,24,0,0,0,1,1,17,5800,2.93,Sun 1:00,,,,,,,,,,,,,
"J.J. Nelson, Ari",SF,23rd,3,10,163,16,2,0,0,0,0,13.8,5600,2.46,Sun 4:05,,,,,,,,,,,,,
"Pierre Garcon, SF",@Ari,28th,3,16,249,25,0,0,0,0,0,14.6,5500,2.66,Sun 4:05,,,,,,,,,,,,,
"Martavis Bryant, Pit",@Bal,5th,3,7,135,18,1,7,0,0,0,9.1,5400,1.68,Sun 1:00,,,,,,,,,,,,,
"Terrelle Pryor, Was",@KC,24th,3,10,116,19,0,0,0,0,0,7.2,5400,1.33,Mon 8:30,,,,,,,,,,,,,
"Devin Funchess, Car",@NE,25th,3,10,146,18,0,0,0,0,0,8.2,5300,1.55,Sun 1:00,,,,,,,,,,,,,
"T.Y. Hilton, Ind",@Sea,10th,3,14,259,22,1,0,0,1,1,16,5300,3.01,Sun 8:30,,,,,,,,,,,,,
"DeSean Jackson, TB",NYG,4th,2,7,123,14,1,0,0,0,0,12.7,5200,2.43,Sun 4:05,,,,,,,,,,,,,
"John Brown, Ari",SF,23rd,1,4,32,9,0,10,0,0,0,8.2,5100,1.61,Sun 4:05,,,,,,,,,,,,,
"Sterling Shepard, NYG",@TB,32nd,3,16,200,22,1,13,0,1,0,15.4,5000,3.09,Sun 4:05,,,,,,,,,,,,,
"Willie Snead, NO",@Mia,19th,--,--,--,--,--,--,--,--,--,0,5000,0,Sun 9:30,,,,,,,,,,,,,
"Danny Amendola, NE",Car,6th,2,9,148,12,0,0,0,1,0,13.4,4900,2.73,Sun 1:00,,,,,,,,,,,,,
"Jamison Crowder, Was",@KC,24th,3,13,113,18,0,0,0,2,2,7.4,4900,1.52,Mon 8:30,,,,,,,,,,,,,
"Rishard Matthews, Ten",@Hou,18th,3,14,201,24,1,0,0,0,0,13.4,4900,2.73,Sun 1:00,,,,,,,,,,,,,
"Corey Coleman, Cle",Cin,8th,2,6,62,13,1,0,0,0,0,9.1,4800,1.9,Sun 1:00,,,,,,,,,,,,,
"Mohamed Sanu, Atl",Buf,9th,3,15,160,21,1,0,0,0,0,12.3,4800,2.57,Sun 1:00,,,,,,,,,,,,,
"Allen Hurns, Jax",@NYJ,22nd,3,12,144,14,2,0,0,0,0,12.8,4700,2.72,Sun 1:00,,,,,,,,,,,,,
"Jermaine Kearse, NYJ",Jax,1st,3,14,165,17,2,0,0,0,0,14.2,4600,3.08,Sun 1:00,,,,,,,,,,,,,
"Brandon Marshall, NYG",@TB,32nd,3,10,93,20,0,0,0,0,0,6.4,4600,1.4,Sun 4:05,,,,,,,,,,,,,
"Paul Richardson, Sea",Ind,27th,3,8,108,19,2,0,0,0,0,10.3,4600,2.23,Sun 8:30,,,,,,,,,,,,,
"Cole Beasley, Dal",LA,7th,3,8,69,14,0,0,0,0,0,5,4500,1.1,Sun 1:00,,,,,,,,,,,,,
